trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.18, 'e': 0.9068700422993367}",20,1,-101.77731543352829,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 1}",1
88,False,"{'a': 0.18, 'e': 0.9047516632199635}",20,0,-95.2240846795869,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
89,False,"{'a': 0.18, 'e': 0.9026106653961321}",20,0,-78.89111344167819,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.18, 'e': 0.9004471023526769}",20,0,-71.06433882353805,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
91,False,"{'a': 0.18, 'e': 0.8982610281785611}",20,0,-159.83932740962382,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
92,False,"{'a': 0.18, 'e': 0.8960524975255253}",25,0,-149.67302461810627,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
93,False,"{'a': 0.18, 'e': 0.8938215656067205}",25,0,8.147862689027036,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.18, 'e': 0.8915682881953289}",30,0,-137.57449727266717,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
95,False,"{'a': 0.18, 'e': 0.8892927216231682}",20,0,-55.97383977066176,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.18, 'e': 0.8869949227792842}",25,0,-136.93666400948345,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.18, 'e': 0.8846749491085283}",20,0,-51.27239342254835,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.18, 'e': 0.8823328586101216}",30,0,-38.5426024403572,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
99,False,"{'a': 0.18, 'e': 0.8799687098362042}",30,0,-124.6328274405036,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
100,False,"{'a': 0.18, 'e': 0.8775825618903728}",20,0,-50.54530245533248,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
