trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.18, 'e': 0.46588077516979337}",20,0,-23.65586488561714,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.18, 'e': 0.46122196741809546}",20,0,-32.760742576957384,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.18, 'e': 0.4566097477439145}",20,0,-21.294988342048384,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.18, 'e': 0.45204365026647536}",20,0,-7.915621569686176,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.18, 'e': 0.4475232137638106}",20,0,17.14571093554614,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.18, 'e': 0.4430479816261725}",25,0,-48.32850791843587,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.18, 'e': 0.43861750180991077}",25,0,2.878327642371946,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
83,False,"{'a': 0.18, 'e': 0.43423132679181164}",25,14,14.750543672552501,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.18, 'e': 0.4298890135238935}",25,0,-195.4880790574219,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 4}",0
85,False,"{'a': 0.18, 'e': 0.4255901233886546}",20,3,-26.092770582134943,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.18, 'e': 0.421334222154768}",25,0,-89.71629558603077,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.18, 'e': 0.41712087993322033}",20,4,5.410649344723746,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.18, 'e': 0.41294967113388814}",20,6,-12.032478805703768,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.18, 'e': 0.40882017442254925}",25,0,-102.75108614677973,"{0: 19, 1: 0, 2: 1, 3: 4, 4: 1}",0
90,False,"{'a': 0.18, 'e': 0.4047319726783238}",20,0,-69.91777514325811,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
91,False,"{'a': 0.18, 'e': 0.40068465295154054}",20,6,1.974113715888449,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.18, 'e': 0.3966778064220251}",25,14,-34.785243875758134,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.18, 'e': 0.39271102835780486}",20,11,-23.221970301975343,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.18, 'e': 0.3887839180742268}",30,0,-70.51258312633043,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
95,False,"{'a': 0.18, 'e': 0.38489607889348454}",25,1,-29.594801392470423,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.18, 'e': 0.38104711810454966}",35,22,18.176841006369862,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.18, 'e': 0.37723664692350417}",30,0,-4.36752816223669,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.18, 'e': 0.37346428045426916}",25,9,13.781077912738125,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.18, 'e': 0.36972963764972644}",20,2,-105.23970449471864,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
100,False,"{'a': 0.18, 'e': 0.3660323412732292}",25,13,20.88714601520689,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.18, 'e': 0.3623720178604969}",20,0,-5.180477221111206,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.18, 'e': 0.3587482976818919}",25,9,-27.35155012512649,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
103,False,"{'a': 0.18, 'e': 0.355160814705073}",25,0,-12.589667201364104,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.18, 'e': 0.35160920655802225}",20,0,-50.82185589833791,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.18, 'e': 0.348093114492442}",20,0,7.39097928844208,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.18, 'e': 0.3446121833475176}",25,0,-30.41036778267567,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
107,False,"{'a': 0.18, 'e': 0.34116606151404244}",20,0,-15.163995703340378,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.18, 'e': 0.337754400898902}",25,0,-94.64604244580153,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.18, 'e': 0.334376856889913}",20,4,-22.425496504450216,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.18, 'e': 0.33103308832101386}",30,0,-75.6206518608837,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
